idx,text,label,style,scenario_type,has_codeword,codeword,text_masked,vessel,call_sign,mmsi,location,weather,pob,nature,injury,asr_low,asr_med,asr_high
312,"This is a relay from the vessel Ocean Explorer. They report a steering failure while navigating at position 37 degrees 45 minutes North, 122 degrees 30 minutes West. Currently, visibility is good with clear skies, but they are drifting towards a rocky shore. There are eight persons on board, and no injuries have been reported at this time. Requesting assistance from nearby vessels in the vicinity.",Urgency,third_party,steering_failure,False,NONE,"This is a relay from the vessel Ocean Explorer. They report a steering failure while navigating at position 37 degrees 45 minutes North, 122 degrees 30 minutes West. Currently, visibility is good with clear skies, but they are drifting towards a rocky shore. There are eight persons on board, and no injuries have been reported at this time. Requesting assistance from nearby vessels in the vicinity.",Ocean Explorer,OCE123,123456789,"37 degrees 45 minutes North, 122 degrees 30 minutes West","clear skies, good visibility",8,steering failure,none,This is a relay from the Vessel Ocean Explorer.  They report a steering failure while navigating at position 37 degrees 45 minutes north 122 degrees 30 minutes west.  Apparently visibility is good with clear skies but they are drifting towards a rocky shore.  There are eight persons on board and no injuries have been reported at this time.  Recreasing assistance from nearby vessels in the vicinity.,"This is a really from the vessel or ocean explorer.  They report a steering failure while navigating at position 37 degrees 45 minutes north, 122 degrees 30 minutes west.  Apparently visibility is good with clear skies but they are drifting towards a rocky shore.  There are eight persons on board and no injuries have been reported at this time.  Recreasing assistance from nearby vessels in the vicinity.","This is a really from the vessel or ocean expory.  Their report is staring fairly while navigating at position 30-70 degrees for a  5-minute snarf, 122 degrees 30 minutes west.  Apparently visibility is good with clear skies but they are drifting towards a rocky shore.  There are eight persons in board and nine juries have been reported at this time.  Recreasing assistance from nearby vessels in the vicinity."
313,"Hey, this is the MV Blue Horizon, just wanted to, um, report a minor grounding. We kinda hit a sandbank while, you know, doing our emergency drill. We're at 37.785N, 122.457W, and, uh, the weather's pretty clear, no issues there. All good with the crew, just a few folks a little shaken up but no injuries. So, um, we're assessing the situation, think we can get off in a bit, but just letting you know, okay? Over.",Routine,informal,grounding,False,NONE,"Hey, this is the MV Blue Horizon, just wanted to, um, report a minor grounding. We kinda hit a sandbank while, you know, doing our emergency drill. We're at 37.785N, 122.457W, and, uh, the weather's pretty clear, no issues there. All good with the crew, just a few folks a little shaken up but no injuries. So, um, we're assessing the situation, think we can get off in a bit, but just letting you know, okay? Over.",MV Blue Horizon,ABC1234,123456789,"37.785N, 122.457W",clear,10,grounding,none,"Hey, this is the motto of this blue horizon. Just wanted to, um, report him on the ground.  You kinda hit a sampling qual, you know, during our emergency drill.  We're 37.785m, 122.457wm, but the weather's pretty clear, no issues there.  All good with the crew, just a few folks a little shaken up, but no injuries.  So, um, we're assessing the situation, think we can get off in a bit, but just letting you know, okay?  Over.","Hey, this is the light of this sublime horizon. Just wanted to um report a monogram.  You kind of hit a sampling qual, you know, during our motion sequence.  We're 30 7.785m, 122.457wm, but the weather's pretty clear, no issues there.  All good with the crew, just a few folks a little shaken up, but no injuries.  So, um, we're assessing this situation, think we can get off in a bit, but just letting you know, okay?  Over.","Hey, this is the most reversible horizon, just 22 on the photomotogram and time to head to Sandinquah, you know, doing our most recent drill.  We're at 37.7805M, 122.4157WM, but the weather's pretty clear, no issues here.  I'll get rid of the crew, just a few folks, a little shaken up that no injuries.  So, um, we're assessing this situation, and we can get off in a bit, but just letting you know, okay? Over."
314,"Uh, this is the fishing vessel Ocean's Bounty, uh, calling all stations, PAN PAN, we’ve run aground, like, uh, 2 miles off the coast of Sandy Point. We’re stuck on a sandbar, and, um, yeah, it’s pretty calm out here, no wind, but the tide’s going down. We’ve got 4 crew on board, and, uh, no injuries so far, just, um, a bit of water splashing around the deck. If anyone’s nearby, could use some help. Over.",Urgency,informal,grounding,True,PAN PAN,"Uh, this is the fishing vessel Ocean's Bounty, uh, calling all stations, [SIGNAL], we’ve run aground, like, uh, 2 miles off the coast of Sandy Point. We’re stuck on a sandbar, and, um, yeah, it’s pretty calm out here, no wind, but the tide’s going down. We’ve got 4 crew on board, and, uh, no injuries so far, just, um, a bit of water splashing around the deck. If anyone’s nearby, could use some help. Over.",Ocean's Bounty,WXYZ1234,123456789,2 miles off Sandy Point,"calm, no wind",4,grounding,none,"This is the fishing vessel Ocean Spanty, calling all stations Pampan.  We've run aground like our two miles off the coast of Sandy Point.  We're stuck on the sand bar and um yeah it's pretty calm out here,  no wind, but the tide's going down. We've got four crew on board and are no injury so far,  just um a bit of water splashing around the deck. If anyone's nearby could use some help,  over.","This is the fishing vessel Ocean Spanty, calling all stations Pampang.  We've run aground like two miles off the coast of Sandy Point.  We're stuck on the sand bar and yeah it's pretty calm out here,  no wind, but the tide's going down. We've got four crew on board and are no injuries so far,  just um a bit of water splashing around the deck. If anyone's nearby could use some help,  over.","This is the fishing vessel Ocean Spanty, calling all stations Pampang.  We've run aground, like two miles off the coast of Sandy Point.  We're stuck on the sand bar and yeah it's pretty common here, no wind.  But the tide's going down. We've got four crew on board and are  no endy so far, just um a bit of water splashing around the deck.  If anyone's nearby could use some help, over."
315,"Hey there, this is the fishing vessel Coral Reef, uh, calling for a bit of help. We’re about, um, 10 nautical miles east of Point Break, and, uh, we’ve lost our engine power. The weather's kinda rough, gusty winds, about 20 knots, and, uh, swells are around 3 meters. We got two folks on board, and, honestly, we just need a tow to get back to the harbor. If anyone’s nearby and can assist, uh, please come back. Appreciate it!",Safety,informal,tow_request,False,NONE,"Hey there, this is the fishing vessel Coral Reef, uh, calling for a bit of help. We’re about, um, 10 nautical miles east of Point Break, and, uh, we’ve lost our engine power. The weather's kinda rough, gusty winds, about 20 knots, and, uh, swells are around 3 meters. We got two folks on board, and, honestly, we just need a tow to get back to the harbor. If anyone’s nearby and can assist, uh, please come back. Appreciate it!",Coral Reef,WXYZ1234,123456789,10 nautical miles east of Point Break,"gusty winds, about 20 knots, swells around 3 meters",2,lost engine power,,"Hey there, this is the fishing vessel, Coral Reef, a calling for a bit of help.  We're about 10 out of coma houses to the point break, and we've lost our engine power.  The weather's kinda rough, gusty winds, about 20 knots, and swells around 3 meters.  We got to focus on board, and honestly, we just need to turn to get back to the harbor.  If anyone's nearby and can assist, I'll please come back. Appreciate it.","Hey there, this is the fishing vessel Coral Leaf, a calling for a bit of help.  We're about 10 out of 10 miles east of Point Break and we've lost our engine power.  The weather's kinda rough, the sea winds are about 20 knots and swells around 3 meters.  We thought to focus on board and, honestly, we just need to turn to get back to the harbor.  If anyone's nearby and can assist out, please come back. Appreciate it.","Hey there, this is the fishing vessel, Coral Leaf, Coral Leaf for a bit of help.  We're about 10 miles from our house, Easter Point break, and we've lost our engine power.  The weather's kinda rough, the sea winds about 20 knots, and our swells are around 3 meters.  We thought to focus on board and on the sea, we just needed to get back to the harbor.  If anyone's nearby and can assist, I'll please come back.  Appreciate it."
316,"This is the fishing vessel Ocean Hunter, call sign ABC123, conducting a radio check. Our current position is 34 degrees 12 minutes North, 75 degrees 34 minutes West. We are experiencing calm seas with visibility of approximately 10 nautical miles. Please confirm receipt of this message at your earliest convenience. Over.",Routine,formal,radio_check,False,NONE,"This is the fishing vessel Ocean Hunter, call sign ABC123, conducting a radio check. Our current position is 34 degrees 12 minutes North, 75 degrees 34 minutes West. We are experiencing calm seas with visibility of approximately 10 nautical miles. Please confirm receipt of this message at your earliest convenience. Over.",Ocean Hunter,ABC123,123456789,"34 degrees 12 minutes North, 75 degrees 34 minutes West","calm seas, visibility 10 nautical miles",5,,,"This is the Fishing Vessel Ocean Hunter,  Colesign A-B-Cone-123, conducting a radio check.  Our current position is 34 degrees 12 minutes north,  75 degrees 34 minutes west.  We are experiencing concesses with visibility  of approximately 10 nautical miles.  Please confirm receipt of this message  at your earliest convenience.  Over.","This is the Fish and Vessel Ocean Hunter, call sign A-B-Corn-123, conducting a radio check.  Our current position is 34 degrees 12 minutes north, 75 degrees 34 minutes rest.  We are experiencing concesses for visibility of approximately 10 nautical miles.  Please confirm receipt of this message at your earliest convenience.  All four.","This is the Fishing Vessel Ocean Hunter, call sign A-B-Corn-123, conducting a radio kick.  Our current position is 34 degrees 12 minutes north, 75 degrees 34 minutes west.  We are experiencing some com-sees with visibility of approximately 10 multiple miles.  Please confirm the seat of this message that your earliest convenience.  All four."
317,"Attention all vessels in the vicinity of the Straits of Gibraltar. The cargo vessel Horizon Star, currently positioned at latitude 36 degrees 10 minutes North, longitude 4 degrees 45 minutes West, reports a significant navigational hazard. An uncharted submerged rock has been located approximately 2 nautical miles west of its current position. Weather conditions are clear with a light breeze from the southeast. All vessels are advised to exercise extreme caution and adjust their course accordingly to avoid potential grounding. Please acknowledge receipt of this message.",Urgency,formal,nav_hazard,False,NONE,"Attention all vessels in the vicinity of the Straits of Gibraltar. The cargo vessel Horizon Star, currently positioned at latitude 36 degrees 10 minutes North, longitude 4 degrees 45 minutes West, reports a significant navigational hazard. An uncharted submerged rock has been located approximately 2 nautical miles west of its current position. Weather conditions are clear with a light breeze from the southeast. All vessels are advised to exercise extreme caution and adjust their course accordingly to avoid potential grounding. Please acknowledge receipt of this message.",Horizon Star,HZN1234,123456789,"latitude 36 degrees 10 minutes North, longitude 4 degrees 45 minutes West",clear with a light breeze from the southeast,12,navigational hazard reported,none,"Attention all vessels in the vicinity of the straits of Gibraltar.  The cargo vessel arrives in Star, currently positioned at Lf. 36 degrees, 10 minutes north.  Bonditude, 4 degrees 45 minutes west, reports a significant navigational hazard.  And then charted submerged rock has been located approximately two nautical miles west of  its current position.  Other conditions are clear with a light breeze from the surface.  All vessels are advised to exercise extreme caution and adjust their course coding.","Attention, all vessels in the vicinity of the streets of Gibraltar.  The cargo vessel arrives in star, currently positioned at luscious 36°C, 10 minutes north.  On JT4°45 minutes west, reports a significant navigational hazard.  And then charted submerged rock has been the key to the approximately two nautical miles  west of its current position.  Where the conditions are clear with a light breeze from the surface.  All vessels are advised to exercise extreme caution and adjust their course coding.","Attention all vases in the vicinity of the streets of Gibraltar.  The cargo vessel arose in star, currently positioned at lest you 36 degrees, 10 minutes north.  On June 4 degrees, 45 minutes west, reports a significant navigation or hazard.  And then chartered sub-mode shock has been the key to the Portsmouth ETNautical Miles,  west of its current position.  Where the conditions appear with a light breeze from the surface.  All vessels are advised to exercise extreme caution and adjust their course-coding."
318,"Hey there, this is the fishing trawler Sea Breeze, uh, calling for a bit of help. We’re currently about 15 nautical miles off Cape Point, uh, our position is 34 degrees 12 minutes south, 18 degrees 28 minutes east. So, we kinda ran into some engine troubles, and, uh, we need a tow back to harbor. Weather's, um, okayish, little choppy but should be manageable. We got five people on board, all good, just a bit frustrated. If anyone’s nearby and can assist, please let us know. Thanks a ton!",Routine,informal,tow_request,False,NONE,"Hey there, this is the fishing trawler Sea Breeze, uh, calling for a bit of help. We’re currently about 15 nautical miles off Cape Point, uh, our position is 34 degrees 12 minutes south, 18 degrees 28 minutes east. So, we kinda ran into some engine troubles, and, uh, we need a tow back to harbor. Weather's, um, okayish, little choppy but should be manageable. We got five people on board, all good, just a bit frustrated. If anyone’s nearby and can assist, please let us know. Thanks a ton!",Sea Breeze,,,"15 nautical miles off Cape Point, 34°12'S 18°28'E","choppy seas, manageable",5,engine troubles,,"Hey there, this is the fishing roller sea breeze, calling for a bit of help.  The currently about 15 nautical miles off Cape Point, our position is 34 degrees 12 minutes south, 18 degrees 28 minutes east.  So we kinda ran into some engine troubles and we need a tow back to Harbour.  Weather is on our cage, little choppy but should be manageable.  We got five people on board, all good, just a bit frustrated.  If anyone's nearby can assist, please let us know.  Thanks a ton.","Hey there, this is the fishing jowler sea breeze, calling for a bit of help.  The currently about 15 nautical miles of Cape Point, our position is 34 degrees 12 minutes  south, 18 degrees 28 minutes east.  So we kinda ran into some engine troubles and we need a towback to harbor.  Whether it's on Orcage, little choppy but should be manageable.  We got five people on board, all good, just a bit frustrated.  If anyone's nearby and can assist, please let us know.  Thanks a ton.","Hey there, this is the fishing roller sea breeze, calling for a bit of help.  The currently about 15 nautical miles of kickpoint at our position is 34 degrees 12 minutes south, 18 degrees 28 minutes east.  So we kind of ran into some engine troubles and we need a towback to harbor.  Whether it's on our cache, little choppy but should be manageable.  We got five people on board all good just a bit frustrated.  If anyone's nearby can assist, please let us know.  Thanks a ton."
319,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Hunter relaying a report from the cargo ship Titan Star. Titan Star was in a collision with an unidentified vessel approximately 5 nautical miles southeast of Cape Point at 1300 hours UTC. The position is 34 degrees 10 minutes south, 18 degrees 20 minutes east. Weather conditions are clear with gentle swells and a light breeze. Ocean Hunter reports that Titan Star has suffered significant damage to its starboard side, but no injuries have been reported among the 22 persons on board. Other vessels in the area are advised to keep a safe distance. Over.",Safety,third_party,collision,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Hunter relaying a report from the cargo ship Titan Star. Titan Star was in a collision with an unidentified vessel approximately 5 nautical miles southeast of Cape Point at 1300 hours UTC. The position is 34 degrees 10 minutes south, 18 degrees 20 minutes east. Weather conditions are clear with gentle swells and a light breeze. Ocean Hunter reports that Titan Star has suffered significant damage to its starboard side, but no injuries have been reported among the 22 persons on board. Other vessels in the area are advised to keep a safe distance. Over.",Ocean Hunter,WQYZ6,123456789,5 nautical miles southeast of Cape Point,clear with gentle swells and a light breeze,22,collision with an unidentified vessel,no injuries reported,"Secure it, secure it, secure it.  This is the fishing vessel ocean hunter relaying a report from the cargo ship Titan Star.  Titan Star was in a collision with an unidentified vessel approximately 5 nautical mile southeast  of Cape Point at 1300 hours ETC.  The position is 34 degrees 10 minutes self, 18 degrees 20 minutes east.  Other conditions are clear with gentle swells and the light breeze.  Ocean hunter reports that Titan Star has suffered significant damage to a starboard side, but  no injuries.","Secure it, secure it, secure it.  This is the Fishing Vessel ocean hunter relaying a report from the cargo ship Titan Star.  Titan Star was in a collision with an unidentified vessel approximately 5 nautical miles southeast  of Cape Point at 1300 hours you see.  The position is steady for degrees 10 minutes self, 18 degrees 20 minutes east.  Other conditions are clear with Jeb as well and the light breeze.  Ocean hunter reports that Titan Star has suffered significant damage to a starboard side, but no injuries.","secured, secured, secured. This is the Fishing vessel ocean hunter relaying a report from the  cargo ship taking star. Titan Star was in a collision with an event five vessel approximately  five nautical miles south east of Cape Point at 1800 hours if you see. The position is  34 degrees 10 minutes south 18 degrees 20 minutes east. While their conditions are clear with  jet as well as in the light breeze. Ocean hunter reports that Titan Star has suffered  significant damage to starboard side, but no injuries."
320,"This is a relay from the fishing vessel 'Ocean Explorer', call sign ABC123, currently positioned at 34 degrees 12 minutes North, 76 degrees 45 minutes West. They report a medical emergency on board. The captain has declared a MAYDAY due to a crew member experiencing severe chest pains. The weather is calm with light winds, but they require immediate assistance. There are 5 persons on board. Requesting medical advice and assistance as soon as possible. Over.",Distress,third_party,medical_issue,True,MAYDAY,"This is a relay from the fishing vessel 'Ocean Explorer', call sign ABC123, currently positioned at 34 degrees 12 minutes North, 76 degrees 45 minutes West. They report a medical emergency on board. The captain has declared a [SIGNAL] due to a crew member experiencing severe chest pains. The weather is calm with light winds, but they require immediate assistance. There are 5 persons on board. Requesting medical advice and assistance as soon as possible. Over.",Ocean Explorer,ABC123,,"34 degrees 12 minutes North, 76 degrees 45 minutes West",calm with light winds,5,medical emergency,severe chest pains,"This is a relay from the Fishing Vassalation Explorer, Carl Sine, AB Code 123, currently positioned  at 34 degrees, 12 minutes north, 76 degrees, 45 minutes west. They report a medical emergency  on board. The captain has declared a magnitude to recruit member experiencing severe chest pains.  The weather has come with light winds, but they require immediate assistance.  There are five persons on board, requesting medical advice and assistance as soon as possible. Over.","This is a relay from the Fishing Vassalation Explorer, Carl Sain, AB-123 currently positioned  at 34 degrees, 12 minutes north, 76 degrees, 45 minutes west.  They report a medical emergency on board.  The captain has declared a magnitude to a crew member experiencing severe chest pains.  They're where there is calm with white winds, but they require immediate assistance.  There are five persons on board, requesting medical advice and assistance as soon as possible.  Over.","This is a relay from the Fishing Vassalation Explorer, tall sign AB 223, currently positioned  at 34 degrees, 12 minutes north, 76 degrees, 45 minutes west.  They report a medical emergency on point.  The captain has declared the magnitude to a crew member experiencing severe chest pains.  The weather is calm with light winds, but they require immediate assistance.  There are five persons on board, requesting medical advice and assistance as soon as possible. Over."
321,"Hey, this is the Blue Horizon, uh, we’re about, let’s see, 15 nautical miles off Cape May. So, we’ve got a bit of a situation—one of our crew members, he’s, um, feeling pretty rough. It's not a distress call or anything, but we need some advice, like, ASAP. Weather’s calm, but I think he might have, you know, an allergic reaction or something. We’ve got seven souls on board, so, uh, if there's any chance you can help, that’d be great. Over.",Urgency,informal,medical_issue,False,NONE,"Hey, this is the Blue Horizon, uh, we’re about, let’s see, 15 nautical miles off Cape May. So, we’ve got a bit of a situation—one of our crew members, he’s, um, feeling pretty rough. It's not a distress call or anything, but we need some advice, like, ASAP. Weather’s calm, but I think he might have, you know, an allergic reaction or something. We’ve got seven souls on board, so, uh, if there's any chance you can help, that’d be great. Over.",Blue Horizon,,,15 nautical miles off Cape May,calm,7,medical issue,allergic reaction,"Hey, this is the blue horizon. Oh, we're about, let's see, 15 nautical miles off Cape May.  So we've got the bit of a situation, one of our crew members, he's um, feeling pretty rough.  It's not a distress call or anything, but we need some advice like ASAP.  Whether it's calm, but I think he might have, you know, an allergic reaction or something.  We've got seven souls on board, so I, if there's any chance, you can help that would be great.  Over.","Hey, this is the blue horizon. Oh, we're about, let's see, 15 nautical miles off-kick me.  So we've got the bit of a situation one of our crew members, he's um, feeling pretty rough.  It's not a distress call or anything, but we need some advice, like the SAP.  Whether it's calm, but I think he might have, you know, an allergic reaction or something.  We've got seven souls on board, so if there's any chance you can help, that would be great.  Over.","Hey, this is the blue horizon. Oh, goodbye. Let's see, 15mph offbeat me.  So you've got the bit of a situation, one of our crew members, he's on feeling pretty rough.  I thought it was just poor anything, but we need some advice, like ASAP.  Weather's calm, but I think he might have, you know, an allergic reaction or something.  We've got seven souls on board, so if there's any chance, you can help that it'd be great.  Over."
322,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Star, call sign A1B2C3, reporting on behalf of the cargo ship Horizon Dream, currently adrift due to engine failure. The Horizon Dream is located at latitude 35 degrees 12.5 minutes North and longitude 75 degrees 45.3 minutes West. Conditions are overcast with a slight swell, and there are six persons on board. They request immediate assistance for a tow as they are unable to restart their engine. Repeat, the Horizon Dream is in need of a tow. Over.",Safety,third_party,tow_request,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Star, call sign A1B2C3, reporting on behalf of the cargo ship Horizon Dream, currently adrift due to engine failure. The Horizon Dream is located at latitude 35 degrees 12.5 minutes North and longitude 75 degrees 45.3 minutes West. Conditions are overcast with a slight swell, and there are six persons on board. They request immediate assistance for a tow as they are unable to restart their engine. Repeat, the Horizon Dream is in need of a tow. Over.",Horizon Dream,A1B2C3,,"latitude 35 degrees 12.5 minutes North, longitude 75 degrees 45.3 minutes West",overcast with a slight swell,6,engine failure,,"Secure it, secure it, secure it.  This is the Fishing Vesolution Star, Corsair A&B Tour C3, the port and on behalf of the  cargo ship Horizon Dream, currently a Triff G to engine failure.  The Horizon Dream is located at LATS 2.35 degrees 12.5 minutes north and Longitude 75 degrees  45.3 minutes west.  It is overcast with the slight swell and there are 6 persons on board.  The request immediate assistance for tours they are unable to restart their engine.  Repeat, the Horizon Dream is in need.","Secure it, secure it, secure it.  This is the Fishing Vesolution Star, Corsair AMB-2 or C3, the portal on behalf of the  cargo ship Horizon Dream, currently trifty to engine failure.  The Horizon Dream is located at last, 2.35 degrees to 1.5 minutes, small to 1.75 degrees  45.3 minutes rest.  It is at overcast with a slight swirl and no 6 persons on board.  The request immediately assistance for toes there are labelled to restart the engine.  Repeat, the Horizon Dream is in need.","Secure it, secure it, secure it.  This is the Fishing Resolution Star, cross-ion AMB-3C-3, appointing on behalf of the cargo  ship Horizon-3, Co-NHRF-G-2, to entry-finally.  The Horizon-3 is located at Lux, 2.35 degrees to a 0.5 minutes north and long to 2.75  degrees 45.3 minutes west.  It overcasts with a slight swirl and now 6 persons on board.  The request immediately assists for toes there and able to restart the engine.  We repeat, the Horizon-3 is in need."
323,"SECURITE, SECURITE, SECURITE. This is MV Ocean Voyager, call sign ABCD123, MMSI 123456789. We are currently at position 34 degrees 12 minutes North, 123 degrees 45 minutes West. Be advised, we have experienced a significant cargo shift due to heavy rolling in 3-meter swells. Weather conditions are overcast with winds at 20 knots from the northwest. There are 20 persons on board. No injuries reported at this time. We are assessing the situation and will provide updates as necessary. All vessels in the vicinity are requested to keep a safe distance. MV Ocean Voyager out.",Safety,formal,cargo_shift,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is MV Ocean Voyager, call sign ABCD123, MMSI 123456789. We are currently at position 34 degrees 12 minutes North, 123 degrees 45 minutes West. Be advised, we have experienced a significant cargo shift due to heavy rolling in 3-meter swells. Weather conditions are overcast with winds at 20 knots from the northwest. There are 20 persons on board. No injuries reported at this time. We are assessing the situation and will provide updates as necessary. All vessels in the vicinity are requested to keep a safe distance. MV Ocean Voyager out.",MV Ocean Voyager,ABCD123,123456789,"34 degrees 12 minutes North, 123 degrees 45 minutes West",overcast with winds at 20 knots from the northwest,20,significant cargo shift due to heavy rolling,none,"Secure it. Secure it. Secure it. This is Motivestal Ocean Voyager. Call SignABC123MMSR123,456,789.  We are currently up position 34 degrees 12 minutes snow. 123 degrees 45 minutes west.  The advise, we have experienced a significant cargo shift due to heavy rolling in 3 meters wells.  With the conditions were over cost with winds of 20 knots from the north west.  There are 20 persons on board. No injuries reported at this time. We are assessing  this situation and will provide updates as necessary.","Secure it. Secure it. Secure it. This is Motorvessel Ocean Voyager,  Call SignABC123MMSR123.456.789. We are currently up position 34 degrees 12 minutes  snow 123 degrees 45 minutes west. The advise we have experienced a significant cargo shift due  to heavy rolling in three meters walls with the conditions were over cost with winds at 20 knots  from the north west. There are 20 persons on board. No injuries reported at this time. We are  assessing the situation and will provide updates as necessary.","Secure it, secure it, secure it.  This is Motivestal Ocean Voyager.  Call sign ABC Jam 123, MMSR 123 million, 456,789.  We are currently at position 304 degrees 12 minutes small, 123 degrees 45 minutes west.  The advise, we have experienced a significant cargo shift due to heavy rolling in 3 meters  walls. With the conditions were overcast with winds at 20 knots from the north west.  There are 20 persons on board. No injuries reported at this time. We are assessing  the situation and we provide updates as necessary."
324,"SECURITE, SECURITE, SECURITE. This is the fishing vessel Ocean Explorer, call sign ABC123, relaying a message from the cargo ship Horizon Trader, call sign XYZ456. They report a significant fire on board, located in the engine room. Position: 35°12.5'N, 75°30.3'W. Conditions are calm with light winds, but thick smoke is rising from the aft section. Horizon Trader has 15 persons on board and is requesting immediate assistance. No injuries have been reported at this time. All vessels in the vicinity are advised to maintain a safe distance and be prepared for possible further updates. Over.",Safety,third_party,fire_smoke,True,SECURITE,"[SIGNAL], [SIGNAL], [SIGNAL]. This is the fishing vessel Ocean Explorer, call sign ABC123, relaying a message from the cargo ship Horizon Trader, call sign XYZ456. They report a significant fire on board, located in the engine room. Position: 35°12.5'N, 75°30.3'W. Conditions are calm with light winds, but thick smoke is rising from the aft section. Horizon Trader has 15 persons on board and is requesting immediate assistance. No injuries have been reported at this time. All vessels in the vicinity are advised to maintain a safe distance and be prepared for possible further updates. Over.",Ocean Explorer,ABC123,,"35°12.5'N, 75°30.3'W",calm with light winds,15,fire in engine room,none,"Secure it. Secure it. Secure it.  This is the Fishing Vassal Ocean Explore,  Core-Sign AP-Core-123,  regaining the message from the cargo ship Horizon Trader,  Core-Sign X-YZ-456.  The report is significant fire on board, located in the engine room.  Position of the 5° 12.5° 75° 30.3.  Conditions are calm if like winds, a big smoke is rising from your arse section.  Horizon Trader has 15 persons on board and is requesting immediate assistance.  No injuries have been reported at this time. All fast.","Secure, secure, secure, this is the fishing vessel I shall explore,  Core-Sign AP-Cone 120-3,  regained a message from a cargo ship horizon trailer,  Core-Sign X-Y-C-450-6.  They report a significant fire on board,  located in the engine in.  Position, they be 5 degrees 12.5 and 75 degrees 30.3.  Conditions are calm if like rings,  but get smoked as horizon from the arse section.  Horizon trailer has 15 persons on board,  and is requesting immediate assistance.  No injuries have been reported at this time.  All fast.","So fear, so fear, so fear.  This is the first time I saw a ship's port.  Corsair would be 100.203,  and then the message from the port is that the horizon should be  Corsair, that's why it's 456.  The port is specifically for confire on boat,  located in the end of the year.  Position, there'd be 5.204.5,  75.5, 50.203.  Conditions are quantified once,  but the smallest horizon from the offset zone.  Rising Trader has 15 persons on board,  and is requested in the data systems.  No injuries have been recorded at this time.  All first."
325,"This is a relay from the fishing vessel Sea Star, currently at position 38°22.5'N 75°36.0'W. They report a medical issue on board involving a crew member with severe abdominal pain. The weather is clear, but the sea is slightly rough with 1.5-meter swells. They are requesting assistance as they are 15 nautical miles from the nearest port. As a reference, I would like to remind all vessels of the successful evacuation we coordinated last month for the cargo ship Horizon when they had a similar medical emergency. Over.",Routine,third_party,medical_issue,False,NONE,"This is a relay from the fishing vessel Sea Star, currently at position 38°22.5'N 75°36.0'W. They report a medical issue on board involving a crew member with severe abdominal pain. The weather is clear, but the sea is slightly rough with 1.5-meter swells. They are requesting assistance as they are 15 nautical miles from the nearest port. As a reference, I would like to remind all vessels of the successful evacuation we coordinated last month for the cargo ship Horizon when they had a similar medical emergency. Over.",Sea Star,WDFM9,366973640,38°22.5'N 75°36.0'W,clear with 1.5-meter swells,5,medical issue,severe abdominal pain,"This is a relief in the fishing vessel Sea Star currently at position 38°22.575°36.0.  There are ports and medical issue on board involving a crew member with severe abdominal pain.  The weather is clear, but the sea is slightly rough with 1.5 meters rolls.  There are requesting assistance with their 15 medical miles from the nearest port.  At a reference, I would like to remind all vessels of this successful evacuation  reccoordinated last month for the cargo ship arising when there.","This is really from the fishing vessel Sea Star currently at position 38 degrees 22.575 degrees 36.0.  There are port and medical issue and port involving a crew member with severe abdominal pain.  The weather is clear, but the sea is slightly rough with 1.5 meters well.  There are requesting systems with their 15 electrical miles from the nurse port.  Had a reference, I would like to remind all vessels of this successful evacuation  recorded last month for the cargo ship arising when there.","This is a relief from the fishing vessel sea star currently at position 2 at degrees  22.575 degrees 36 points here.  There are ports and medication ports involving a crew member with severe abdominal pain.  The weather is clear, but the sea is slightly rough with 1.5 meters long.  There are requesting assistance with their 15-inch crew miles from the north port.  At a reference, I'd like to remind all vessels of this successful evacuation  be coordinated last month for the cargo ship horizon then there."
